Comment,VADER Sentiment,TextBlob Sentiment,Pattern Sentiment
if we never been this hot before in your memory how do we know what the weather should be like at this temp ? where's the standard.? where's the control group ? equating catastrophic earthly event with give or take a few digit is premature and con piracy,Negative,Positive,Positive
what? so cold week. the cold summer.,Neutral,Negative,Negative
we're in a climate crisis! denial won't save us! we're in a climate crisis! denial won't save us! we're in a climate crisis! denial won't save us!,Negative,Neutral,Neutral
if government would stop spraying chemical trails.this would not be happening. this is all intentional.,Negative,Neutral,Neutral
yep... it get hot in the summer,Neutral,Positive,Positive
biggest scam in world history. folks. climate change is occurring across the entire solar system how is that caused by the people earth? it s not.,Negative,Neutral,Neutral
"i remember, year ago the un saying the hole in the ozone layer wa going to lead th another image. so all the control of cfc's came in. we closed the 'hole' and now we're apparently over-heating . maybe the ozone hole wa a way to vent the heat build up. maybe cfc,'s need introducing again. maybe the scientist amongst you could comment.",Neutral,Negative,Negative
save the planet,Positive,Neutral,Neutral
"if climate change is real, how come usda hardness zone have remained essentially unchanged for nearly 50 years?",Neutral,Positive,Positive
the only one who can really do something are the wealthy... and they don't care.,Negative,Positive,Positive
"every time i hear of complaint concerning the high price being paid at the pump, along with the high price of heating oil, i think of our failure to end the use of fossil fuels, or at least curtailing their general use. know this, we can pay up front or pay in the end. ha anybody noticed, land droughts, flooding and stronger than normal tornadoes? and wildfire too large to try to put out. i dread trying to find just one cool place on earth this summer.",Negative,Positive,Positive
the baby boomer will 100% take this issue to the grave with them.,Negative,Neutral,Neutral
government is not the solution.,Negative,Neutral,Neutral
"we’re not scaremongering, this is really happening",Neutral,Positive,Positive
conservatism is regressivism. regressivism is paganism! ore face screaming in fear,Negative,Neutral,Neutral
"too late. there really is not any way the human race can mean itself off of fossil fuel quickly enough. we would need to build 1000 nuclear power plants, convert all residential and business to electric, build out the power grid to handle the added load, and eliminate internal combustion engines. we simply can't do it before the permafrost in alaska and russia start to melt. i won't live to see the end, but if you have young children, they will. we let the population of the planet get too big. the math is not that hard. we simply can't replace fossil fuel quickly enough.",Positive,Negative,Negative
ask china first to lower their emissions. other wise...i do not believe you.,Negative,Positive,Positive
there is no way the world is going to give up fossil full. unfortunately the tech is not there yet. we would need to make drastic change but most people will not give it up.,Negative,Positive,Positive
"the un, there’s a trustworthy set of loyalist fear longer pushing a pond scheme.",Positive,Neutral,Neutral
the united state military knows..! the number one threat to national security is climate change..! polar warming is a reality..! abrupt climate change will continue to prove itself..! soo.. wake the fu€k up..!,Positive,Negative,Negative
"oh, the un climate report? bad news climate leanings, they’re lying, just like manbearpig ha been doing all along. remind me again how rising temperature make it colder? rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing",Positive,Negative,Negative
it is the lack of medium focus and support for the normal solution to global warming climate change..the vaccine are not safe and support for normal opinion did not appear. we injected nurse and doctor against their better judgement by the supreme court decision. this is criminal climate change testimony and criminal malpractice in public.,Positive,Negative,Negative
the first thing you have to do is overthrow the government of the earth our leader are on a suicidal mission to use all fossil fuel until the minute we die we are in a war they will not stop are you going to stop them or are you just going to f****** sit there until they burn down the planet or we die in nuclear holocaust a they fight over the last resource,Negative,Positive,Positive
laughing my ass off another fictitious climate report to promulgated an agenda.,Negative,Neutral,Neutral
nobody on the screen is doing anything to significantly reduce their carbon footprint. it's time to panic if so inclined.,Negative,Positive,Positive
a battery powered dynamo power an electric motor is an unlimited range electric car or truck. they are very inexpensive to build and operate. you don't have to recharge a battery. the dynamo power the car and recharge the battery. if you were military vehicle or an airplane an editor generator should be installed a backup if the vehicle is hit with microwave radiation.,Neutral,Positive,Positive
i don’t believe anything is doomed.,Negative,Neutral,Neutral
guy i'd love to do something about global warming but it's time for world war iii baby are tank and jet fighter fame good for the environment no but god damn is it fun at least we're going out in a blaze of glory guy global warming what are you guy talking about we're going to have a nuclear war it's going to be hot all right try the temperature of the sun but we'll have the global warming s*** under control now that we're going to invent this drifting new technology called the sorrowfield ash of billion of dead people floating in the atmosphere after a nuclear holocaust oh that s*** will cool the environment right down but hey i tell you guy what i've been saying this the entire time there's still time now the government's going to tell you to go die in war and starve you with hyperinflation and we all know global warming is real can't you see you're all going to die anyway but if we're going out let's go out on our own term we still the politician the people doing this s*** the billionaire we know who they are we know where they are if we all collectively got together and just attacked what chance could they possibly have of course a lot of u will die but a lot of u are going to starve meaningless and then they'll win anyway same s*** that hitler said i don't offer you peace i offer you blood fire death and glory,Negative,Positive,Positive
mining for rare earth metal needed for green energy emits enormous amount of co2. and green energy required massive amount of deforestation.,Positive,Negative,Negative
"the climate is going to change no matter what the un does. the un climate goal are a scam now teamed up with the ref pushing the great reset by 2030. prepare to be hypnotized, terrorized, and brainwashed by your authoritarian climate overlord.",Negative,Positive,Positive
i'm with any. we have got to be optimistic. we have got to implement critical changes. we have actual can save ourselves from doom. we just have to do it.,Positive,Neutral,Neutral
one sure fire way to cut emission would be a nuclear war.,Negative,Positive,Positive
"i'm with tony on this one. my expectation is that humanity will do nothing to prevent the worst case scenario and we'll end up suffering horrible consequences. all the rich elite will be fine though since they'll be able to pump purified air into their underground fortresses, the rest will be left to fight for survival in a dystopian hellscape. sound delightful.",Negative,Positive,Positive
any country that have the technology to power the world globe showing Americas without but they just don't care because a huge rock is headed towards the earth globe showing Americas and nasa say it's going to pas u by so close that it could take out most of the lower satellites but what they didn't tell you is they are wrong and in april 13 2029 a huge rock just like the bible say it will break into three piece so cal and mexico and the pacific ocean in the ocean the mantle will be cracked there will be numerous tsunami that will be of tremendous size you can figure out the rest the whole coast line around the pacific ocean will be wiped out this is not a joke 777,Negative,Positive,Positive
"how much are the white west paying to the global south to prevent the catastrophic? after all the major consumer in the world are white western people that ha led to this situation. this is a racial war and the white west now realises the damage it ha caused to the planet after century of exploitation, colonisation, imperialism and the domination of the global south and now want to limit the development of people of color in the global south without contributing substantially towards combating climate change by continuing to dominate the world.",Negative,Positive,Positive
we can keep throwing money at politician to save us. that should work.,Positive,Neutral,Neutral
thank you europe 4 mercantile capitalism,Positive,Neutral,Neutral
"people with the power to actually do something be screaming ""oh no, not the economy!"" face screaming in fear face with rolling eyes woody face skull and crossbones",Negative,Neutral,Neutral
apocalypse never is a good book for anyone interested in the propaganda surrounding human caused global warming.,Neutral,Positive,Positive
"human overshoot is still being ignored, it's too personal.",Negative,Neutral,Neutral
"we had better get a move on with those nuclear power stations, the next mini ice age started a few year ago, is speeding up rapidly. once large amount of cold water flood out of antarctica, the ocean's circulation will stop. the ice age can then happen almost overnight. no more gulf steam for europe. expect famine, war and disease. by 2030, or sooner, it will be here. nothing we can do except try and survive, get your weapon ready to protect your property and food. grow you own a much a you can if possible. there will be no electricity a the grid will be fried by plasma burst in a couple of year caused by the electromagnetic reversal of the planet.",Negative,Positive,Positive
he said “protect nature” but what he meant wa “switch to a plant based diet”. super annoying that he wasn’t direct about it.,Positive,Negative,Negative
"lad seriously... when are we going to call the ""real"" problem... junk are not going to change the habit of a lifetime. that's also true for carbon juries. what's happening with russian gas should be all the proof of that fact anyone would need. anyway, the 'real' problem isn't ""carbon"" it's ""people"" way too many of them for the planet to support. what's needed here is a good old fashioned war ( a big one )...now hold that though...a ""solution"" might be on it way. what ya really think the 1% are just going to sit it out...i don't think so... like what's the point of stealing all those billion and don't live to spend it?... seriously you're that naive?",Negative,Positive,Positive
"well, the war in the ukraine isn’t helping either.",Negative,Neutral,Neutral
"they said same thing 40 year ago, 30 year ago, and they will still say it in one century, but the problem men cannot change sun cycle who is at the basis of climate cycles...",Negative,Neutral,Neutral
limit global warming everyone folded hands raised fist ' red heart globe showing Europe-Africa globe showing Americas victory hand,Positive,Neutral,Neutral
laugh out loud we're going extinct soon,Positive,Neutral,Neutral
"all bs!!!! all fear wondering here. fb. it all about the money, donate and the elite get richer.",Positive,Neutral,Neutral
"95% of atmospheric co2 is from decaying vegetation, 2% at most from fossil fuels. even mit state leaf alone contribute 90%. so, if atmospheric co2 is a crisis, what's the plan to stop plant from rotting un ""scientists""? fyi, per the un, we had 12 year to live in 1999.",Negative,Positive,Positive
"how about we at least shift to being ""green"" by recycling."" it doesn't cost any money at all, and i believe most of u have learned that since the first or second grade. ( the only obstacle is not getting our butt up to put in the recycling bin.) we still need to use use renewable energy in the long-run though. sun droplet droplet high voltage high voltage",Negative,Positive,Positive
they want sunday inactivity and mandatory sunday worship to fight the claim ate cr isi ---> sunday law. that's the mark of the beast.,Positive,Neutral,Neutral
"nearest cbs, climate change? 1. carbon is our friend of mine actually 2. actual fact and common sense one day shall rule. 3. this change that you twist and not very well. is like magician. let me explain well like senator kennedy from louisiana, funny a heck with his quits..only these jokes..keeps him in the senate.. you are the same holding up one hand saying look at this look at this, while you take the other hand and pull money out of our pocket with the other..",Positive,Negative,Negative
global warming is because of all the nuclear testing the russian sub china's sub u subs... are sending to the north and south ...,Positive,Neutral,Neutral
what is funny?!,Neutral,Positive,Positive
"don't buy car made by audi, because they are the greatest polluted on production and on use! grimacing face",Negative,Positive,Positive
this is the same lie and agenda they been pushing since 1969. back then it wa a new ice age. don’t go for it. this is just the way government get people to give them more power and take away our rights. death by a thousand cuts.,Negative,Positive,Positive
the sky is falling! you folk are so credulous. and people keep moving to phoenix -- how about that.,Negative,Neutral,Neutral
"al gore said this would happen by 2020. so like, add another 25 years?",Positive,Neutral,Neutral
all these lies. climate go through change and cycles. hoax that cost u a lot of money.,Negative,Neutral,Neutral
climate is been changing for million year way before human. arizona use to be a big ocean. funky scientists.,Negative,Neutral,Neutral
this is democrat supported bullshit,Negative,Neutral,Neutral
oh no! we are all going to die unless we listen to people who fly private jet everywhere!,Negative,Positive,Positive
really? who belief this stuff?,Neutral,Positive,Positive
the arial spraying is causing the atmosphere to heat up. climate change is a loyalist conspiracy theory. how much co2 is in the atmosphere? wake alarm clock up alarm clock people,Negative,Positive,Positive
someone should tell the volcano to stop going off their causing more global warming.,Negative,Positive,Positive
who to believe these people or the creator of the weather channel thinking face mfa it gone get cold real cold,Neutral,Negative,Negative
more democratic fear-wondering,Neutral,Positive,Positive
we're all going to die anyways,Negative,Neutral,Neutral
they've been saying this since the 70's and is the biggest lie and nothing but a way to scam and tax people to death. thanks to al gore and his lie people have bought this hook line and singer. wake up people,Negative,Positive,Positive
stop lying trump 2024....trump,Negative,Neutral,Neutral
"warming? it's cold right now, it's winter. wish global warming wa real. northern state would feel like florida by now.",Positive,Negative,Negative
please ask them to send some of that global warming to michigan!!! (when it finally start happening).,Positive,Neutral,Neutral
you can’t stop these changes. better/smarter to adapt. it’s all a croc!,Negative,Neutral,Neutral
this is bullshit,Negative,Neutral,Neutral
"""eyes open. no fear..."" s0",Negative,Neutral,Neutral
more propaganda,Negative,Positive,Positive
then there's me fighting off frostbite in 25 degree weather in october in indiana,Negative,Neutral,Neutral
fear fear fear and fear and more fear. thanks government and media.,Negative,Positive,Positive
"there is a tremendous opportunity for all you who think climate change is all a hoax. insurance company are failing on certain type of coverage due to climate change. if you're so sure climate change isn't real or serious, you can start your own insurance company that doesn't change it coverage based on all this bogus climate nonsense. put your money where your mouth is. go on. i dare you.",Neutral,Positive,Positive
fear fear fear!!!everyone be scared just like they want so you can be controlled!!!!,Negative,Neutral,Neutral
"oh no, where's al work (gore).",Negative,Neutral,Neutral
more bullshit scare tactics.,Negative,Positive,Positive
it's a gift!! the biggest gift there's ever been.,Positive,Neutral,Neutral
man didn’t cause global warming!,Positive,Neutral,Neutral
i have heard the lie of costal flooding since 1990 and 30 year later there ha been no rise in sea level. last i knew no city or home have had to move from rising sea levels. think of something new.,Negative,Positive,Positive
"what’s really going on is that no matter how much money you people make off of this or no matter how high your prestige in position in power is it will never be enough to buy you sufficient air-conditioning for the climate change that’s coming upon you when you stand before the god of the universe and give a count for your deed, if this wa such a worry they wouldn’t be stopping elon musk from putting audio thing that reduces the consumption of electricity by massive amount, but we see that is fixed by politician for the green deal that is greenback paper money",Negative,Positive,Positive
canada had many wildfire the world want to keep playing game go head jesus will not save u,Negative,Positive,Positive
tell me what ppl will do with their electric car in ten year when the battery die,Negative,Neutral,Neutral
"i don't think this is about global warming, but bad drainage in these cities/states. maybe they need to add more street vent or reconstruct the street where water ha nowhere to escape. i don't believe in what scientist say because a lot of it is just nonsense. the most we will be able to predict is weather and even that's not always accurate. i believe global warming fix itself through water recycle through rain.",Negative,Positive,Positive
"imagine how many untold trillion of taxpayer dollar are being wasted on the ""climate change"" scam... money-mouth face",Negative,Positive,Positive
god judgement,Positive,Neutral,Neutral
biggest bunch bullshit ever!! may god deal with all liars!!!,Negative,Neutral,Neutral
"if rising sea's were an issue, you would not be able to get loan to build in florida or along most coastline, nor would anyone provide insurance. i heard this morning that 'global warming' is causing the u.s. to be warmer than the rest of the planet. is is global warming or u.s. warming? this is all so that they can tax u more to fix a problem that we cannot control. to think that human can ruin a planet is just arrogance.",Negative,Positive,Positive
stop lying to the american people,Negative,Neutral,Neutral
how about we ban private jets.,Negative,Neutral,Neutral
"climate change is a conspiracy, stop deforestation, the earth wa created with water,formed with water, shaped with water, destroyed with water, next time with fire to punish the ungodly man, all of mankind, 2 peter 3 v3,4,5....",Negative,Neutral,Neutral
"lies, propaganda, and agenda from the talking heads. for instance i have lived in az my entire life it is no hotter now.. the problem is that developer paid off the politician and destroyed a once beautiful valley. it is now the pit or if you like the phoenix metro area and it can no longer cool down. completely destroyed by full coverage of asphalt and concrete in addition to the heat generated by the mob that now inhabits it. and let u not forget all of the stucco, chicken wire and tile box that pas a homes. it simply no longer cools. however the politico did ensure the comfort of their ultra wealthy donor by taking the loot to develop the mountain side where their donor would be safe and at least 15 degree cooler. every high spot is zoned to keep the 90-95% out. no more access to the special place many of u used to access. private drives, gates, and entry not permitted for you. however for the help they have service road below grade so that they cannot be seen by the crime bosses, oops i mean residents, they even house this filth in what were once public desert parks. drive up the 51 and you get to view a couple of 20 million dollar crime bos hideout where we used to hike.",Negative,Positive,Positive
what action are ya gonna take lol...,Neutral,Positive,Positive
i'd take them much more seriously if these climate alarming starred selling their property on the coasts...,Negative,Positive,Positive
wait until god wrath!,Positive,Neutral,Neutral
like i believe anything the government say after all this corruption currently in the white house.,Positive,Neutral,Neutral
"but the day of the lord will come like a thief, in which the heaven will pas away with a roar and the element will be destroyed with intense heat, and the earth and it work will be burned up. (2 peter 3 10, nasa)",Negative,Positive,Positive
people better worry about their soul versus this sinking ship.,Neutral,Positive,Positive
it's far too late to change it..,Neutral,Negative,Negative
it seems letting the planet die is much cheaper than war....... money-mouth face money-mouth face money-mouth face,Negative,Positive,Positive
"you wont be joking around saying ""climate change is fake"", ""its propaganda"" or it ""the media"" when your cold state start burning and your hot state start flooding and freezing in the winters, be my guest, people like that is why this planet wont last and change for the better",Positive,Negative,Negative
there is not a fix for this not 1 that is like saying we can stop a asteroid the size of 1 city block from smashing into the earth.,Negative,Neutral,Neutral
yes because the republican party view climate change a witchcraft!!!,Positive,Neutral,Neutral
"there are many way to verify the bullshit climate change claim considering data is widely available. i remember it use to be called global warming a well a a number of other things. i’ll know it’s for real when john kerry sale his private jet, 15 houses, 20 luxury vehicles, and the power that be stop meeting in davis to secretly decide how much carbon tax they can implement on the pen of the world. the agenda is highly anti human.",Negative,Positive,Positive
if used to be called global warming but people caught onto that scam.,Negative,Neutral,Negative
climate ha been changing since day one. human and farming cow can't change the climate,Positive,Negative,Negative
nothing new,Neutral,Positive,Positive
it is starting to get cold here in washington state. my heating cost last year wa through the roof and it ha gone up every year for the last 30 years. not sure how well my tesla will do in the snow. when is global warming going to kick in?,Positive,Negative,Negative
"stopping cheap energy production and chemical trail spraying from jets, warfare, and poorly maintained ""protected land"". for",Positive,Neutral,Neutral
"no increase in hurricanes, tornadoes, floods, droughts, heatwaves, wildfires, surface temperatures, or sea levels. 89% of all land mass over twenty-five acre have grown. the antarctic ha grown colder. according to the user there ha been no warming in the united state since it wa established in 2005. there is no ""climate crisis""",Negative,Neutral,Neutral
cough cough…i’m dying here in north carolina…it’s…it’s….climate change face with crossed-out eyes rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,Positive,Neutral,Neutral
the climate scam,Negative,Neutral,Neutral
biden is killing me! climate change is a normal part of mother nature......,Negative,Positive,Positive
white house is threatening american life much much more.,Negative,Positive,Positive
more bull!,Neutral,Positive,Positive
"we trust the deep state mm,",Positive,Neutral,Neutral
"private jet should be outlawed, more rail, bus or trolley route and bike lane everywhere.",Neutral,Positive,Positive
the cheaper for solar and wind will not be cheaper if it take off again it will skyrocket in price .they want there billion for it a well.,Positive,Neutral,Neutral
there are over 8 billion carbon footprint currently on the earth. i think they want to take that down to half a billion. you are the carbon footprint that they want to reduce.,Positive,Negative,Negative
"world weather attribution group say this is all about climate. duh. every day it changes. and the reason (so simple) people are struggling with the heat is because govt. ha been spraying in front of the sun, playing god and then they stopped? to make people suffer that would have naturally acclimated to the heat. but noon, some suiciding scientist have to lie about the truth, who did this. we know who did it and one day it will be payback time.",Positive,Negative,Negative
you should report on radio frequency being used to alter weather patterns!,Neutral,Neutral,Negative
no one cares. push u n agenda for sustainable development somewhere else.,Positive,Neutral,Neutral
"lol, ridiculous if people believe this propaganda climate change is real and it's been happening for million of years. tax u and it will all go away grinding quitting face",Negative,Positive,Positive
million will starve thanks to the current government and it policy . there goal to cut food production by 30 to 50 percent will come true. cut fertilizer by 30 % cut food production by up to 50 percent. only some one that life in toronto think this will work. all supported by the liberal subsidized medium .,Negative,Positive,Positive
straight from covid to climate change just like those conspiracy theorist predicted.,Neutral,Positive,Positive
a conservative government cannot come fast enough.,Neutral,Positive,Positive
"if we had a carbon tax, we might have avoided the five major ice age million of year ago.",Negative,Positive,Positive
"why don't everyone look up "" harry"", please discus what you find with this money laundering scheme.",Positive,Neutral,Neutral
news flash. the climate on earth is always in a constant state of change and ha been for million of years. why do you think cold place on earth used to be tropical. man made climate change is a myth.,Positive,Negative,Negative
climate change hahahaha cry some more about muliputive nonsense political agenda get real ..,Negative,Positive,Positive
laughing my ass off,Negative,Neutral,Neutral
beware of the invisible boogeyman (especially when taxing you more is the cure).,Neutral,Positive,Positive
no way it real?,Negative,Positive,Positive
"i've been trying to find out the environmental impact of war. all the fire the weapon and destruction in conflict must have a big effect, is there a link between war and weather and climate change?",Negative,Neutral,Neutral
"these people (world weather attribution group) wont even link to the study they are talking about. they say they looked at crop (agricultural drought) but claim ecological drought caused by climate change. i wonder what other factor they looked at before blaming climate change. i'd like to see the study but it's mysteriously hidden. this tell me it's a political group, not a scientific one.",Negative,Positive,Positive
the west wont do anything about climate catastrophe. our government are important when it come too the need of it's people. the corporation own our government and they get everything that want,Negative,Positive,Positive
"yes, climate change is connected to droughts, but no evidence exist that it wa caused by man made co2.",Negative,Neutral,Neutral
weather manipulation is real. they've been doing here since the 40's. you can't tax your way to convenient weather. this is nothing but a gift.,Negative,Positive,Positive
stop the lie and spreading this misinformation. climate change is a naturally occurring phenomenon. quite using climate change to push political agendas.,Negative,Positive,Positive
so why is the shift to nuclear energy so slow?,Positive,Negative,Negative
climate change linked to leftist hysteria in new study.,Negative,Positive,Positive
i wonder what early man blamed ?,Negative,Positive,Positive
then why wa it raining so much this year in british columbia,Neutral,Positive,Positive
climate change??!! try weather wars.,Negative,Neutral,Neutral
pure unadulterated gaslighting with a full measure of ox pile of poo,Neutral,Positive,Positive
maybe if they stopped with all the chem trail it would help.,Positive,Neutral,Neutral
"a new study say that climate change caused covid, fentanyl addiction, human trafficking, liquor store robberies, shark attack and an increase in finding to study climate change.",Negative,Positive,Positive
