Comment,sentiment
they have to put nuclear waste into the oceans?!,Negative
"more than 1,600 scientists, including two nobel laureates, declare climate 'emergency' a myth",Neutral
a scam to rob the wealthy country and dump vast amount of money to the poor countries. pure marxists.,Negative
"all this technology, scientists,can not find a solution to the greenhouse effect,and nasa want to conquer mars. first thing first, save earth ,where your child lives. crying face",Negative
"question arises, who & why this huge universe is made & human are given a central position into it. and then, where are all human going after death. & when mankind is given death, so the earth & the universe. & show we are approaching towards the mega *the end* by the creator of the universe. and definitely there we will find what wa the purpose of life. please, start search for the creator of the whole universe & what doe the creator of the universe want from us. all answer will be there, when we find our creator.",Negative
politician are out of control.,Neutral
the north pole used to be about 70+ degree and wa a rain forest with evidence of tropical plant and vegetation. soon..enough about climate change. you just want a excuse to destroy our freedoms...enough lies....,Negative
"un is completely corrupt, nothing the west doe will change the outcomes.",Neutral
along with the help of the galactic federation a well.,Positive
"just stop oil, extinction rebellion",Negative
don't look up,Neutral
take action save climate control carbon dioxide green deal now.,Positive
capitalism without any social purpose caused climate change.,Neutral
how can something that doesn’t exist be out of control? what doe exist and is most definitely out of control is climate hysteria.,Neutral
""" these are extreme ,,extreme days...we living, we living ,we living in extreme days..can't nobody stop it ? saint no body stop it """,Positive
"wow! are people still falling for this follow? first, it wa the greenhouse effect, then it wa the hole in the ozone, then global warming, and now it climate change. don't forget to get your 5th vaccine shot, grauniad readers.",Positive
"so the un sg doesn't read his own un-funded ipcc reports. this is what ipcc ar6 chapter 11 on extreme weather say about the weather. these are direct quotes. on floods “low confidence for observed change in the magnitude or frequency of flood at the global scale.” on droughts “there is medium confidence that since the 1950s some region of the world have experienced a trend to more intense and longer drought … but in some region drought have become le frequent, le intense, or shorter…”. [thus, no global trend in droughts, but an increase in some region and a decrease in others.] hurricanes/tropical cyclones ”there is low confidence in observed long-term trend in hurricane intensity, frequency, and duration, and any observed trend in phenomenon such a tornado and hail.” “data corresponding to hurricane that have directly impacted the united state since 1900 are considered to be reliable, and show no trend in the frequency of u.s. landfall events” “data representing hurricane landfall frequency over australia show a decreasing trend in eastern australia since the 1800s a well a in other part of australia since 1982.” extra tropical storm [ie. major storm outside of the tropics]. “there is overall low confidence in recent change in the total number of storm over both hemispheres” “overall, there is also low confidence in past-century trend in the number and intensity of the strongest storms” so where, in that, is there evidence that ""climate change is out of control""? it's interesting and disappointing that the guardian prefers to quote the mis-informed non-expert who doesn't even read his own organisation's report (except of course the summary by policymakers) rather than do it own 'investigative journalism' of actually reading what the 'consensus science' says. it would be the equivalent for the supposed exon scam of 'already knowing about climate change' a if the guardian only quoted the ceo and ignored any other evidence. would they do that? of course not. their action and investigative effort are driven by the agenda they want to present rather than the truth.",Positive
"humanity a a whole is ok with the world getting worse for us, that's why there is hardly any action. only a handful of people took their responsibility and changed their behavior.",Negative
professional liar!,Negative
"meanwhile, in china and india, the completion of over 200 coal burning plant is due by the end of the year. the number of coal burning plant in the uk? 0",Positive
that's a lie. it is now the monsoon season in india and it is raining heavily,Neutral
get ready the climate lockdown,Positive
better get rid of those volcano while we are at it a well. grinding face with sweat grinding face with sweat grinding face with sweat,Positive
every time the guardian put out a *story* like this i immediately go out and let my diesel truck idle on the drive for an hour,Positive
"erm, no. but on the positive side, it will give poppy, marquis and uncle files an excuse to practice their hobby of walking very slowly while wearing hi-viz.",Positive
"denying climate change is not a random opinion, those who deny it aim to worsen it and to encourage more disaster",Negative
the west that benefited from this climate change must own up to it!,Neutral
"i live close to the coastline. the water ha reached my knees. please, stop driving your car... it's ruining my furniture",Positive
"so, should i destroy my car now to fight climate change? i need it to do my job.",Negative
why are we not talking about the biggest poster china ? they operate 52 percent of all coal fired plant and is adding 10 percent more !!!! they are destroying the future for our kid ! source global coal plant tracker,Negative
how much that guy net worth,Positive
"face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy , climate change face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy it's all a big con",Positive
"geo-engineering for the big large revenue model, the climathoax!!!!!!",Neutral
i give humanity 100 year to extinguish,Neutral
he will just do certain supernatural thing but still we all must do our job to protect the planet anyways.,Positive
"there ha recently been the hottest day ever. not surprising, a this graph show that the entire earth ha warmed by 4 degree centigrade since january. the temperature of the earth on jan 1. 2023 wa 13.14 degree c and the temperature of the earth on july 7 2023 wa 17.20 degrees. which is a rise in global warming of 4.06 degree in only 6 months. that's a very frightening number.",Positive
"well obviously no one in power is going to do anything about it and they never were, ""climate action"" ha become a joke, the only thing to do now is to prepare to survive extreme climate instability and social chaos. but the rich country and wealthy people have a plan to survive. they have massive control of weapon and resource and army and power. they thought ahead and made lot of wealth out of destroying the planet so they can survive. so whats the problem? solution just make several hundred million dollar and you should be personally ok.",Positive
it keep surprising me how much interest there is for this topic looking at the amount of view's face with open mouth why doe humanity wait till it's too late?,Positive
"climate change is real, it been happening for 1000 of year. there is no stopping it. carbon tax, will never change the weather woman struggling",Negative
"certainly, this russian war made it so much worse, putin is a global, genocide climate and human murderer and must be stopped!",Negative
this isn't global warming it weather manipulation,Negative
"the un is out of control. more than 4,000 year ago in mesopotamia – the area currently made up of iraq, north-east syria and south-east turkey – the akkadian empire ruled supreme. until a 300-year-long drought quite literally turned all their plan to dust. it wa part of a pattern of changing climate condition in the middle east around 2,200 bce that wa constantly disrupting life and up-ending emerging empires.",Positive
bill gate is responsible.,Positive
"so, time’s up index pointing at the viewer",Neutral
if they wanted decrease pollution they would sanction eastern countries. instead they carbon tax the poor in the west. hypocrisy at it finest.,Negative
"many part of the world are flooding, earthquake event have gone up and seeing heat dominates in country that were already hot and humid",Positive
"people in 1990 the climate crisis is out of control, it is irreversible, and we will be dead in 20 years. people in 2023 the climate crisis is out of control, it is irreversible, and we will be dead in 20 years.",Negative
"according to the 21st century greatest scientist, great thurnberg, we should have all been brown bread last month.",Positive
climate change ha never been in our control except maybe locally. the earth is too large and we are too small. it only take one big volcano. or melting ice or ocean current change or weather pattern or...,Positive
there is no climate change whatsoever. this is all hogwash.,Negative
"i'm sure the massive contribution of co2 from the forest fire in canada have nothing to do with this, doesn't seem like anyone's worried about putting those out.",Negative
it always the hottest week in history when it summer in the northern hemisphere not when it summer in the southern hemisphere which is kinda weird. same go for winter. the southern hemisphere just cant set record or something.,Negative
"the climate ""change"" is the result of geo-engineering and a pole shift that the ""science"" based medium choose to ignore.the summits of the world have weaponized the weather.",Neutral
joke of the day. the brazilian oil company - petrobras announces that it ha started using a fully electric oil platform.,Positive
"this is simply nature - the climate is never static, always changing, and we must endure it, like all other creatures. climate change panic and alarming is what’s out of control - get a grip, get a real understanding of how the world works, stop existing in a state of constant fear, and focus your energy on something worthwhile.",Negative
there's nothing wrong with the planet the people are f&cken. george margin.,Positive
who us census? rolling on the floor laughing,Positive
"it is already too late, nothing can be done to save the situation.",Positive
antarctic sea ice at extreme low this time of year. hit lowest on record in feb. ocean temp at record highs. global average temp at record highs. right-wingers but what about my grand's back porch this morning?,Negative
"liars!!!!!!!!!!!!! abolish the un and all global mafia groups, like eu, ref, who etc...",Positive
"bullshit , up north in canada is getting colder and colder year after year , stop bullshit . once up north temperature is similar to hawaii then i believe the global is warming .",Negative
"genuinely terrifying. we are simply standing back with our hand in our pockets, watching our world fall apart in front of us.",Negative
except the hottest week wa in 1930 still. they are lying to get the climate change money out of your pockets. prove me wrong!,Negative
"the lying corrupt so called un wont mention that global temp have been rising since the last ice age cycle, and that the planet is not a stable biosphere, subject to climate cycling and constant change, the global climate scam is nothing but a wealth redistribution pond scam and the un ha zero credibility.",Negative
60 year ago it wa clear this would happen unless thing changed immediately. for 60 year nothing wa done ..,Positive
"hello, it's summer?",Neutral
"where guerre say ""key measure that are needed"" - they are not the right measures. some green energy amidst an overall increase in fossil fuel use is not ""more sustainable."" and energy efficiencies, tax and price rise to quell demand, to make up the environmental shortfall will become horrifically unjust before the end! the right answer is a prosperous and sustainable future based on magma energy; a source of energy so vast it can supply world energy demand carbon free plus power desalination, irrigation, recycling and carbon capture into the long term future. the un are uniquely placed to recommend magma energy to the world - a global solution to a universal threat.",Positive
climate change denier are now under the same dome a flat partners.,Negative
the end is high !! unless you buy more stuff we sell you salting face,Neutral
how do we transition to renewables? how will it be achieved? in what year will it be achieved? what is the requirement? how many wind turbines? how many solar panels? how many hydro dams? how many whatever? where will it all be? when will it be ready? keep in mind that this must be done worldwide. also keep in mind that overall energy consumption in 2050 will be 50% more than it wa in 2020. what happens when there’s no wind? what happens when it’s too windy? what happens when there’s no sun? if battery are the solution- what capacity is needed ? how many are needed? where will they be? when will they be installed? if pumped hydro is the solution- what capacity is needed ? how many are needed? where will they be? when will they be installed? also to be kept in mind - renewables currently provide 11% of energy. (it’s been that way for years.) hydro is 7%. wind is 2% biomass is 1% solar is 1%. others is 1%. nuclear is 4%. fossil fuel is 84%.,Positive
liar! liar!!!!!,Negative
this is a record for the last 44 years. their satellite monitoring began in 1979. just another headline to scare children.,Negative
"saying 'wow, its'""was, the hottest year ever'"" after a century of gradual global warming would be like an 18 year old saying ""wow, i'm the tallest i've ever been in my life!"". or a 60 year old, after a 40 year career saying ""wow, i'm the richest i've ever been in my life"".",Positive
made by the elite,Neutral
the climate hysteria is out of control....there is no climate emergency.,Negative
"thanks little one, it's a simple calculus. this universe is finite, it resources, finite. if life is left unchecked, life will cease to exist. it need correcting.",Positive
"ethiopia set to plant half a billion seeding on july 17, 2023.",Neutral
willingly ignorant. it's why they want new math and history.power,Negative
"they know that the problem is the world population. they know in order for their be balance between mother nature and human there can only be 1.5 to 2 billion people living on earth at anyone given time. when we hit 3 billion people in 1970 we started the next ice age. since then the ball is been rolling getting faster and faster, if we stopped all the thing we are doing to cause the ball to go faster we would still enter into another full on ice age.",Negative
will they ever admit the main cause is over population?,Positive
"wel, here in the uk, right now, there's nothing but rain, thunder, more rain, more thunder, where all this scoring hot sunshine?, wish we could have some. we got quite a bit back in june, though.",Positive
the earth will recover when human are extinct .,Neutral
"both side exaggerated. i dislike climate denial, but we're going to be ok. just need a few cent more on gasoline, and more trees.",Positive
oh my god the earth is not following useless man's plan,Positive
this is great we need thinning out grinding face with sweat,Positive
i still own lot of land on the moon quick buy a lot now safest place to build your dream home,Positive
we have always had these temperature periodically and storm for ever,Neutral
if we never been this hot before in your memory how do we know what the weather should be like at this temp ? where's the standard.? where's the control group ? equating catastrophic earthly event with give or take a few digit is premature and con piracy,Negative
what? so cold week. the cold summer.,Neutral
"too many human are using too many natural resource and producing too much pollution, including global heating and climate collapse. solution? contraception.",Positive
"face with tears of joy face with tears of joy anyone who can think know nothing will change it. yes climate is changing and people will die and thing will change. who care anymore, keep burning fossil fuels.",Positive
we're in a climate crisis! denial won't save us! we're in a climate crisis! denial won't save us! we're in a climate crisis! denial won't save us!,Negative
"climate change ha nothing to do with auto exhaust or emissions. there ha been a substantial increase in seismic and volcanic activity over the last hundred years. this ha increased the temperature of the land, sea, and air. the weather is most likely changing back to what it wa 2,000 year ago. when the roman were in britain (40bc-380ad) they grew citrus fruit in the north. look up ""roman warm period"" and ""medieval warm period"" online. it appears that there is a major change every 1,000 year and that is where we are today. periodic change in the heat, light, and radiation created by the sun affect the earth both above and below and is the cause of the global warming we are experiencing.",Positive
in the 1970's the same people were saying that we were headed for the next ice age. it's just summer people.,Neutral
"people act like having the hottest summer on record is evidence of “climate change”, but we have the hottest summer on record every year. that’s normal, it just keep getting hotter every year, nothing to worry about. no long term trend here.",Positive
if government would stop spraying chemical trails.this would not be happening. this is all intentional.,Negative
yep... it get hot in the summer,Neutral
biggest scam in world history. folks. climate change is occurring across the entire solar system how is that caused by the people earth? it s not.,Negative
"i remember, year ago the un saying the hole in the ozone layer wa going to lead th another image. so all the control of cfc's came in. we closed the 'hole' and now we're apparently over-heating . maybe the ozone hole wa a way to vent the heat build up. maybe cfc,'s need introducing again. maybe the scientist amongst you could comment.",Neutral
"probably already too late even if we were trying to do something about it. sadly, most people are denying it and in fact are making the problem worse by the way they live. republican will never acknowledge it. especially trump.",Negative
save the planet,Positive
"if climate change is real, how come usda hardness zone have remained essentially unchanged for nearly 50 years?",Neutral
the only one who can really do something are the wealthy... and they don't care.,Negative
"yep. somebody take care of putin first, then we can discus climate change.",Positive
"people like joe machine stand in the way! he make too much money on his dirty, underperforming coal!",Negative
okay this woman trying to defend that we shouldn't give up you should give up you should abandon all hope because you need to realize the reality of our situation there is no hope hope this doesn't f****** exist you have to make hope we have to we have to try extraordinarily hard to make hope a reality hope that we have a future that our child have a future were the world is the same thing that we know we just can't hope for that to happen that won't happen we have to make it happen,Positive
"every time i hear of complaint concerning the high price being paid at the pump, along with the high price of heating oil, i think of our failure to end the use of fossil fuels, or at least curtailing their general use. know this, we can pay up front or pay in the end. ha anybody noticed, land droughts, flooding and stronger than normal tornadoes? and wildfire too large to try to put out. i dread trying to find just one cool place on earth this summer.",Negative
the baby boomer will 100% take this issue to the grave with them.,Negative
government is not the solution.,Negative
"we’re not scaremongering, this is really happening",Neutral
"oh by the way, was.",Neutral
"a long a we see economic growth a even a important a survival, we aren't going to survive. we need contraction and consolidation.",Positive
more agenda 30/ no/great reset lies. you people are evil,Negative
"*i want to make you sick....* global warming estimate are based on 1950s temperatures. true rise in temperatures had already risen by 1.5c from the 1850s. during the last 70 year temperature have risen another 1.5c or combined since 1850 are about 3.0c. most environmentalist now believe 8c to 12c temperature rise are possible within 20 year due to methane rich area in liberia and in the ocean that are now melting into a gas state rising into the atmosphere. *(world temp could be on avg over 120 degree & up most place on the planet if they are correct.)* *do you have a yacht able to hang around the antarctic with enough supply for possibly decades?* even if you do, there might be many other environmental change that could occur that would make living for any mammal impossible.",Positive
we can but we won't. we've proved it for 50 years. we are frog simmering on the stovetop. 2 degree c is already locked in.,Neutral
conservatism is regressivism. regressivism is paganism! ore face screaming in fear,Negative
10 percent of co2 emission are from human breathing.,Neutral
"welcome to nederland. the world is not united and will never cooperate. enough will survive, so live it up and burn-baby-burn.",Positive
"too late. there really is not any way the human race can mean itself off of fossil fuel quickly enough. we would need to build 1000 nuclear power plants, convert all residential and business to electric, build out the power grid to handle the added load, and eliminate internal combustion engines. we simply can't do it before the permafrost in alaska and russia start to melt. i won't live to see the end, but if you have young children, they will. we let the population of the planet get too big. the math is not that hard. we simply can't replace fossil fuel quickly enough.",Positive
man cannot control climate change.,Neutral
climate change is fake because millionaire news anchor who get paid by billionaire oil executive told me it is.,Negative
un is stupid. so are people that defend biden,Negative
fake news,Negative
"*imagine, all the youtube/influencer make a content that will heal the world !?* * this is your chance to prove that people don't regret to follow y'all influencers * * y'all can make a change! by influencing your subscriber and followers * * c'mon, you have the power * * we are all gonna suffer and money can't do anything about that * * only unfortunate people can't live if that happen * * those who are living a simple life can't save, yet those who take advantage on earth will save because they have the privilege ? * #letssaveearth",Negative
ask china first to lower their emissions. other wise...i do not believe you.,Negative
too late. shoreline are doomed.,Negative
there is no way the world is going to give up fossil full. unfortunately the tech is not there yet. we would need to make drastic change but most people will not give it up.,Negative
"3 year before climate catastrophe and 99% of the medium are talking about short-term issues, and those that are covering are giving it 2-10 minutes, and then moving on to other story and never going back to this news!. human truly are stupid, and that's why most of u won't be around in 20 years!",Negative
"the un, there’s a trustworthy set of loyalist fear longer pushing a pond scheme.",Positive
the united state military knows..! the number one threat to national security is climate change..! polar warming is a reality..! abrupt climate change will continue to prove itself..! soo.. wake the fu€k up..!,Positive
"oh, the un climate report? bad news climate leanings, they’re lying, just like manbearpig ha been doing all along. remind me again how rising temperature make it colder? rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing",Positive
it is the lack of medium focus and support for the normal solution to global warming climate change..the vaccine are not safe and support for normal opinion did not appear. we injected nurse and doctor against their better judgement by the supreme court decision. this is criminal climate change testimony and criminal malpractice in public.,Positive
is china one of these 24 counties? if not maybe we should bring our business back to america,Neutral
the first thing you have to do is overthrow the government of the earth our leader are on a suicidal mission to use all fossil fuel until the minute we die we are in a war they will not stop are you going to stop them or are you just going to f****** sit there until they burn down the planet or we die in nuclear holocaust a they fight over the last resource,Negative
humanity will inevitably die of stupidity and greed.,Negative
the carbon footprint wa tree grow 5 foot taller now,Neutral
"yes, protect nature & get off fossil fuels. but mechanical carbon capture is largely feasible, unless it's done let's say at a waste to energy facility and put right into basalt rock. practical solution exist, such a converting farm to grazing, le meat, more forest protection, marine protection. i would put more weight in lowering the amount of sunlight striking the earth by spreading limestone dust in the upper atmosphere or space around the planet, and letting forest and prairie slowly absorb co2 then capture it in biomass on a slightly le sunny planet. we've already got momentum, so busting near space may be necessary.. globe showing Asia-Australia globe showing Europe-Africa globe showing Europe-Africa volleyball",Positive
laughing my ass off another fictitious climate report to promulgated an agenda.,Negative
nobody on the screen is doing anything to significantly reduce their carbon footprint. it's time to panic if so inclined.,Negative
a battery powered dynamo power an electric motor is an unlimited range electric car or truck. they are very inexpensive to build and operate. you don't have to recharge a battery. the dynamo power the car and recharge the battery. if you were military vehicle or an airplane an editor generator should be installed a backup if the vehicle is hit with microwave radiation.,Neutral
start with preventing those stupid recreation trip to “outer space”. below.,Negative
"the earth is cooler w atoms/gigs/albedo not warner. to perform a advertised the gigs require ""extra"" energy spelling from the surface radiating a a black body. the kinetic heat transfer process of the contiguous atoms molecule render such a scenario impossible. no greenhouse effect, no gh warming, no man/co2 driven climate change.",Negative
"it’s never… good grief look at the overpopulated world.. then russia attack of ukraine Ukraine , syria, ethiopia, sudan, brazil’s rain forest or anywhere in the world. it seems maybe containment of suffering would be also something to look at.",Negative
"this checking buffoon is trivializing an existential threat! one might think that the movie ""don't look up"" wa a farce now i see it a a documentary.",Negative
i don’t believe anything is doomed.,Negative
guy i'd love to do something about global warming but it's time for world war iii baby are tank and jet fighter fame good for the environment no but god damn is it fun at least we're going out in a blaze of glory guy global warming what are you guy talking about we're going to have a nuclear war it's going to be hot all right try the temperature of the sun but we'll have the global warming s*** under control now that we're going to invent this drifting new technology called the sorrowfield ash of billion of dead people floating in the atmosphere after a nuclear holocaust oh that s*** will cool the environment right down but hey i tell you guy what i've been saying this the entire time there's still time now the government's going to tell you to go die in war and starve you with hyperinflation and we all know global warming is real can't you see you're all going to die anyway but if we're going out let's go out on our own term we still the politician the people doing this s*** the billionaire we know who they are we know where they are if we all collectively got together and just attacked what chance could they possibly have of course a lot of u will die but a lot of u are going to starve meaningless and then they'll win anyway same s*** that hitler said i don't offer you peace i offer you blood fire death and glory,Negative
put a co2 monitor in your living room and you’ll soon understand what the real problem is. too many mammal breathing cause the stats to rise. multiply time 8 billion human plus their furry friend . that’s 7 billion more human than in the year 1904. just ponder that.,Positive
mining for rare earth metal needed for green energy emits enormous amount of co2. and green energy required massive amount of deforestation.,Positive
talk talk take.world never fix anything.,Neutral
"the climate is going to change no matter what the un does. the un climate goal are a scam now teamed up with the ref pushing the great reset by 2030. prepare to be hypnotized, terrorized, and brainwashed by your authoritarian climate overlord.",Negative
"""protect nature” -clear cut tree for solar.",Positive
"the reporter laughing while reporting on ""we're all doomed"" topic laugh out loud Happy",Positive
i'm with any. we have got to be optimistic. we have got to implement critical changes. we have actual can save ourselves from doom. we just have to do it.,Positive
one sure fire way to cut emission would be a nuclear war.,Negative
drill baby drill,Neutral
out of time ....,Neutral
mfa,Neutral
"i'm with tony on this one. my expectation is that humanity will do nothing to prevent the worst case scenario and we'll end up suffering horrible consequences. all the rich elite will be fine though since they'll be able to pump purified air into their underground fortresses, the rest will be left to fight for survival in a dystopian hellscape. sound delightful.",Negative
any country that have the technology to power the world globe showing Americas without but they just don't care because a huge rock is headed towards the earth globe showing Americas and nasa say it's going to pas u by so close that it could take out most of the lower satellites but what they didn't tell you is they are wrong and in april 13 2029 a huge rock just like the bible say it will break into three piece so cal and mexico and the pacific ocean in the ocean the mantle will be cracked there will be numerous tsunami that will be of tremendous size you can figure out the rest the whole coast line around the pacific ocean will be wiped out this is not a joke 777,Negative
everyone in the comment is still asleep,Neutral
what a lie.,Neutral
i choose never,Neutral
you're so full of crap. isn't it amazing it's only the u that need to cut all their emissions. none of the other country especially china the worst one is doing a damn thing.,Negative
"how much are the white west paying to the global south to prevent the catastrophic? after all the major consumer in the world are white western people that ha led to this situation. this is a racial war and the white west now realises the damage it ha caused to the planet after century of exploitation, colonisation, imperialism and the domination of the global south and now want to limit the development of people of color in the global south without contributing substantially towards combating climate change by continuing to dominate the world.",Negative
we can keep throwing money at politician to save us. that should work.,Positive
thank you europe 4 mercantile capitalism,Positive
meanwhile joe machine is clothing his dirty coal pearls.,Negative
"reducing global greenhouse gas emission is a euphemism or a nice way of saying depopulation/population control. agenda 2030 is fast approaching steeple. you can side with good or you can choose evil, that's if you're still alive to make that choice. either way currently it's the great reset vs. the great awakening. the anti-human new world order agenda is in full swing now.",Positive
